GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netex-java-model,org.rutebanken.netex.model,TypeOfLinkSequence,161,0,6,0,57,0,31,0,28,0
netex-java-model,org.rutebanken.netex.model,ChargingBasisEnumeration,31,67,4,0,5,9,4,2,2,2
netex-java-model,org.rutebanken.netex.model,AssignmentRefStructure,52,0,0,0,20,0,11,0,11,0
netex-java-model,org.rutebanken.netex.model,FareStructureElementRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,PassengerInformationEquipment_VersionStructure,314,0,22,0,103,0,60,0,49,0
netex-java-model,org.rutebanken.netex.model,TravelDocument_VersionStructure,198,0,6,0,73,0,42,0,39,0
netex-java-model,org.rutebanken.netex.model,EntitlementRequired,201,0,6,0,73,0,39,0,36,0
netex-java-model,org.rutebanken.netex.model,SalesOfferPackageRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,FareProductPrices_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,GeographicalInterval,211,0,6,0,77,0,41,0,38,0
netex-java-model,org.rutebanken.netex.model,InterchangeRuleTimings_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,SaleDiscountRightRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,LogicalDisplay_VersionStructure,162,0,6,0,58,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,LinkRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,RoughSurfaceRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,EscalatorEquipmentRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,ServiceJourneyPatternTypeEnumeration,31,67,4,0,5,9,4,2,2,2
netex-java-model,org.rutebanken.netex.model,LimitingRule_VersionedStructure,306,0,6,0,117,0,66,0,63,0
netex-java-model,org.rutebanken.netex.model,ClassInFrameStructure.Attributes,52,0,8,0,12,0,9,0,5,0
netex-java-model,org.rutebanken.netex.model,TypesOfEquipment_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,ClosedTimestampRangeStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,org.rutebanken.netex.model,FareStructureFactors_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,GaragePoint,171,0,6,0,61,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,VehicleModel,146,0,6,0,51,0,28,0,25,0
netex-java-model,org.rutebanken.netex.model,AccessVehicleEquipment_VersionStructure,421,0,14,0,156,0,90,0,83,0
netex-java-model,org.rutebanken.netex.model,DayTypes_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,SalesOfferPackage,231,0,6,0,85,0,45,0,42,0
netex-java-model,org.rutebanken.netex.model,Projections_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,WhitelistRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,LeftLuggageServiceRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,LineNetwork_VersionStructure,186,0,6,0,68,0,39,0,36,0
netex-java-model,org.rutebanken.netex.model,MobilityEnumeration,31,111,4,0,5,13,4,2,2,2
netex-java-model,org.rutebanken.netex.model,ParkingBay,400,0,12,0,146,0,77,0,71,0
netex-java-model,org.rutebanken.netex.model,TopographicProjection,161,0,6,0,57,0,31,0,28,0
netex-java-model,org.rutebanken.netex.model,RetailServiceRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,QueueingEquipmentRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,Cells_RelStructure.CellInContext,315,0,12,0,112,0,60,0,54,0
netex-java-model,org.rutebanken.netex.model,Duty_VersionStructure,186,0,6,0,68,0,39,0,36,0
netex-java-model,org.rutebanken.netex.model,TimeDemandTypeAssignment_VersionStructure,177,0,6,0,64,0,36,0,33,0
netex-java-model,org.rutebanken.netex.model,DriverScheduleFrameRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,ShelterEquipment_VersionStructure,240,0,6,0,89,0,48,0,45,0
netex-java-model,org.rutebanken.netex.model,InfoLinks_RelStructure,52,0,8,0,12,0,9,0,5,0
netex-java-model,org.rutebanken.netex.model,StandardFareTable,211,0,6,0,77,0,41,0,38,0
netex-java-model,org.rutebanken.netex.model,GenericParameterAssignmentInContext,291,0,6,0,109,0,57,0,54,0
netex-java-model,org.rutebanken.netex.model,ParkingProperties_VersionedChildStructure,294,0,30,0,87,0,54,0,39,0
netex-java-model,org.rutebanken.netex.model,ResidenceTypeEnumeration,31,78,4,0,5,10,4,2,2,2
netex-java-model,org.rutebanken.netex.model,FareZone,236,0,6,0,87,0,46,0,43,0
netex-java-model,org.rutebanken.netex.model,SiteConnection_VersionStructure,197,0,6,0,72,0,40,0,37,0
netex-java-model,org.rutebanken.netex.model,TravelAgent,270,0,12,0,94,0,51,0,45,0
netex-java-model,org.rutebanken.netex.model,TypeOfOrganisationPart_ValueStructure,161,0,6,0,57,0,31,0,28,0
netex-java-model,org.rutebanken.netex.model,PriceGroupRefStructure,52,0,0,0,20,0,11,0,11,0
netex-java-model,org.rutebanken.netex.model,VehicleJourney,336,0,6,0,127,0,66,0,63,0
netex-java-model,org.rutebanken.netex.model,CheckConstraintDelay,166,0,6,0,59,0,32,0,29,0
netex-java-model,org.rutebanken.netex.model,ServiceCalendarRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,CancellingRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,TrainComponentLabelAssignmentRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,FareProduct_VersionStructure,359,0,6,0,139,0,79,0,76,0
netex-java-model,org.rutebanken.netex.model,FareSection_VersionStructure,239,0,6,0,89,0,49,0,46,0
netex-java-model,org.rutebanken.netex.model,TypeOfFacilityRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,OrganisationalUnitRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,TravelCreditPolicyEnumeration,31,56,4,0,5,8,4,2,2,2
netex-java-model,org.rutebanken.netex.model,TypeOfProductCategory,166,0,6,0,59,0,32,0,29,0
netex-java-model,org.rutebanken.netex.model,TypeOfProductCategoryRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,FareZoneRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,Journey,221,0,6,0,81,0,43,0,40,0
netex-java-model,org.rutebanken.netex.model,ExtensionsStructure,52,0,8,0,12,0,9,0,5,0
netex-java-model,org.rutebanken.netex.model,CoursesOfJourneysInFrame_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,TimeDemandProfileRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,Frames_RelStructure,53,9,7,1,13,3,9,2,5,2
netex-java-model,org.rutebanken.netex.model,Notice,176,0,6,0,63,0,34,0,31,0
netex-java-model,org.rutebanken.netex.model,PointOfInterestRefStructure,52,0,0,0,20,0,11,0,11,0
netex-java-model,org.rutebanken.netex.model,SchematicMapMembers_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,CappedDiscountRight_VersionStructure,288,0,6,0,108,0,57,0,54,0
netex-java-model,org.rutebanken.netex.model,CommonSection,191,0,6,0,69,0,37,0,34,0
netex-java-model,org.rutebanken.netex.model,DistributionAssignment,358,0,24,0,116,0,65,0,53,0
netex-java-model,org.rutebanken.netex.model,CodespaceAssignments_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,GroupOfLinkSequences_VersionStructure,168,0,6,0,60,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,PointOfInterestSpace,365,0,12,0,132,0,70,0,64,0
netex-java-model,org.rutebanken.netex.model,RouteInstructionRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,TypeOfValueRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,VehicleEntrance,395,0,12,0,144,0,76,0,70,0
netex-java-model,org.rutebanken.netex.model,ServiceJourneyPattern,256,0,6,0,95,0,50,0,47,0
netex-java-model,org.rutebanken.netex.model,FontSizeEnumeration,31,67,4,0,5,9,4,2,2,2
netex-java-model,org.rutebanken.netex.model,RetailDeviceRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,FareStructureElement_VersionStructure,416,0,6,0,163,0,94,0,91,0
netex-java-model,org.rutebanken.netex.model,SafetyFacilityEnumeration,31,56,4,0,5,8,4,2,2,2
netex-java-model,org.rutebanken.netex.model,AccessRightInProduct_VersionedChildStructure,180,0,6,0,65,0,36,0,33,0
netex-java-model,org.rutebanken.netex.model,GaragesInFrame_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,HeadingSignStructure,346,0,6,0,133,0,74,0,71,0
netex-java-model,org.rutebanken.netex.model,PointRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,SeriesConstraintRefStructure_,59,0,0,0,23,0,13,0,13,0
netex-java-model,org.rutebanken.netex.model,TrainBlockRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,FareProductRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,SameUserEnumeration,31,56,4,0,5,8,4,2,2,2
netex-java-model,org.rutebanken.netex.model,TypeOfTariffRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,DestinationDisplayRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,RelationshipRefStructure,31,0,0,0,12,0,8,0,8,0
netex-java-model,org.rutebanken.netex.model,GroupOfPointsRefStructure,52,0,0,0,20,0,11,0,11,0
netex-java-model,org.rutebanken.netex.model,FrequencyOfUse,216,0,6,0,79,0,42,0,39,0
netex-java-model,org.rutebanken.netex.model,InterchangingTypeEnumeration,87,0,4,0,13,0,6,0,4,0
netex-java-model,org.rutebanken.netex.model,ReservationChargeTypeEnumeration,31,67,4,0,5,9,4,2,2,2
netex-java-model,org.rutebanken.netex.model,FlexibleServiceProperties_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,ZoneUseEnumeration,31,56,4,0,5,8,4,2,2,2
netex-java-model,org.rutebanken.netex.model,ObservedPassingTime,171,0,6,0,61,0,33,0,30,0
